species,ITS,ETS,accD_psaI,atpF_atpH,ndhF,psbK_psaI,trnS_trnG
affinis,KF821551.1,KF820905.1,KF820133.1,MH744007.1,EU055977.1,KF822087.1,MK006832.1
albicans,KF821554.1,KF820909.1,KF820136.1,MH744009.1,EU055978.1,KF822092.1,NA
alborufescens,MK020666.1,MK006525.1,MK006182.1,MK006312.1,NA,MK006605.1,MK006790.1
amnicola,MK020556.1,MK006538.1,NA,MK006308.1,NA,NA,NA
amoena,MK020552.1,MK006542.1,MK006213.1,MK006304.1,NA,MK006602.1,MK006759.1
angelana,KF821560.1,KF820918.1,KF820146.1,MH744012.1,NA,KF822101.1,MK006831.1
argyrophylla,MH743840.1,KF820925.1,KF820153.1,MH744014.1,EU055983.1,KF822108.1,NA
astroplocama,NA,NA,NA,NA,NA,NA,NA
atlantica,MH743843.1,MH743784.1,MH743953.1,MH744020.1,NA,MH743903.1,MK006774.1
baumgratziana,MH743841.1,MH743782.1,MH743951.1,MH744015.1,NA,MH743901.1,NA
brunnea,EU055730.1,KF820948.1,KF820173.1,MH744017.1,EU055994.1,KF822131.1,MK006768.1
budlejoides,EU055732.1,KF820950.1,KF820174.1,MH744019.1,EU055996.1,KF822133.1,MK006747.1
burchellii,MK020548.1,MK006543.1,MK006299.1,MK006316.1,NA,MK006722.1,MK006804.1
caiuia,NA,NA,NA,NA,NA,NA,NA
calvescens,NA,KF820955.1,KF820178.1,NA,NA,KF822138.1,NA
capixaba,MH743844.1,MH743785.1,MH743955.1,MH744023.1,EU056002.1,MH743904.1,MK006818.1
castaneiflora,MH743845.1,MH743786.1,MH743956.1,MH744025.1,NA,MH743905.1,MK006780.1
caudigera,EU055740.1,KF820963.1,KF820185.1,NA,EU056004.1,KF822146.1,NA
chrysophylla,NA,NA,NA,NA,NA,NA,NA
cinerascens,EU055752.1,KF820980.1,KF820203.1,MH744033.1,EU056012.1,KF822165.1,MK006786.1
cinerea,MK020553.1,MK006520.1,MK006183.1,MK006315.1,NA,MK006725.1,MK006984.1
cinnamomifolia,EU055753.1,KF820982.1,KF820204.1,MH744034.1,EU056013.1,KF822166.1,MK006821.1
cipoensis,KF821582.1,KF820983.1,KF820205.1,MH744035.1,NA,KF822167.1,MK006749.1
corallina,KF821587.1,KF820990.1,KF820211.1,MH744037.1,NA,KF822174.1,MK006781.1
cowanii,MK020559.1,MK006540.1,NA,MK006323.1,NA,NA,NA
cubatanensis,EU055761.1,KF820999.1,KF820219.1,MH744038.1,NA,KF822183.1,MK006752.1
cyathanthera,KF821592.1,KF821005.1,KF820224.1,MH744039.1,NA,KF822188.1,MK006751.1
dichrophylla,MK020550.1,MK006539.1,MK006269.1,NA,NA,NA,NA
discolor,EU055767.1,KF821015.1,KF820233.1,MH744040.1,EU056024.1,KF822198.1,MK006750.1
